neck_angle,shoulder_tilt,spine_lean_angle,forward_head_offset,shoulder_hip_alignment,ear_shoulder_dist,shoulder_symmetry,lateral_lean,label_raw,label,subject
172.1977,4.657,175.9364,0.6981,172.1977,0.1071,0.9368,3.0359,TLB,Backward Lean,1
172.286,4.7908,175.9385,0.6827,172.286,0.1072,0.934,3.0332,TLB,Backward Lean,1
74.9756,1.3615,152.3674,6.0503,74.9756,0.062,0.737,5.0098,TLF,Forward Lean,1
74.3095,0.9309,156.5897,6.7185,74.3095,0.0678,0.7465,3.7541,TLF,Forward Lean,1
41.7764,1.9395,155.2781,6.4397,41.7764,0.0702,0.7885,3.7799,TLF,Forward Lean,1
16.3923,2.5284,153.8219,5.7492,16.3923,0.085,0.8054,3.8192,TLF,Forward Lean,1
13.6899,4.3714,157.022,5.3253,13.6899,0.0892,0.9522,2.6699,TLF,Forward Lean,1
6.7482,4.3209,156.6971,4.1162,6.7482,0.0822,0.9496,2.7345,TLF,Forward Lean,1
2.9875,4.9896,159.207,3.1825,2.9875,0.0789,0.9293,2.2624,TLF,Forward Lean,1
1.3539,5.7149,160.7943,2.1535,1.3539,0.0702,0.8562,2.3271,TLF,Forward Lean,1
6.0046,5.5829,162.1684,1.5838,6.0046,0.0773,0.849,1.7793,TLF,Forward Lean,1
12.9545,5.5828,163.9094,0.4306,12.9545,0.0787,0.8085,1.9647,TLF,Forward Lean,1
14.4164,4.549,162.3438,0.4334,14.4164,0.0767,0.8958,1.6948,TLF,Forward Lean,1
22.1447,3.49,156.7111,0.156,22.1447,0.0781,0.9391,1.7678,TLF,Forward Lean,1
19.6422,3.6671,158.4992,0.2445,19.6422,0.0754,0.9922,1.7343,TLF,Forward Lean,1
20.5492,3.8204,159.1463,0.0411,20.5492,0.0773,0.9721,1.7322,TLF,Forward Lean,1
19.5066,4.1814,159.9815,0.068,19.5066,0.0761,0.9213,1.7609,TLF,Forward Lean,1
15.4836,4.313,162.4904,0.2582,15.4836,0.073,0.8726,1.7537,TLF,Forward Lean,1
14.3992,4.5567,163.7794,0.2326,14.3992,0.0732,0.8332,1.6607,TLF,Forward Lean,1
13.7052,4.5196,164.3657,0.2618,13.7052,0.0778,0.8249,1.6009,TLF,Forward Lean,1
12.7468,4.829,165.3723,0.2676,12.7468,0.0815,0.7917,1.6178,TLF,Forward Lean,1
11.8962,4.7728,165.5704,0.3603,11.8962,0.0815,0.794,1.6128,TLF,Forward Lean,1
14.3587,4.5078,163.7479,0.2624,14.3587,0.0794,0.83,2.0604,TLF,Forward Lean,1
10.9129,4.8708,165.5416,0.3731,10.9129,0.0603,0.7944,2.131,TLF,Forward Lean,1
20.4863,4.3211,159.4866,0.0016,20.4863,0.0328,0.9125,2.1851,TLF,Forward Lean,1
96.0994,2.2475,162.8396,0.7781,96.0994,0.0085,0.9627,2.1418,TLF,Forward Lean,1
83.4151,2.9723,168.1939,1.0401,83.4151,0.0104,0.9138,1.3973,TLF,Forward Lean,1
3.6145,3.7017,169.2401,0.6574,3.6145,0.0265,0.8455,1.6733,TLF,Forward Lean,1
56.847,3.8653,154.2537,-2.2346,56.847,0.0433,0.9786,4.2106,TLF,Forward Lean,1
68.6869,4.4454,155.7809,-1.7786,68.6869,0.0254,0.9294,3.9933,TLF,Forward Lean,1
67.3341,4.5776,155.9006,-1.4004,67.3341,0.0204,0.9485,3.9507,TLF,Forward Lean,1
32.5578,4.9268,155.4976,-0.7908,32.5578,0.0564,0.9308,3.9145,TLF,Forward Lean,1
175.027,4.3186,177.7632,0.5339,175.027,0.1118,0.9268,1.7077,TLF,Forward Lean,1
175.1321,4.7354,177.7037,0.4918,175.1321,0.1096,0.9186,1.7429,TLF,Forward Lean,1
174.9973,4.837,177.6372,0.4992,174.9973,0.1084,0.9175,1.7935,TLF,Forward Lean,1
174.4887,4.9363,177.5505,0.5696,174.4887,0.1066,0.9159,1.8515,TLF,Forward Lean,1
178.3458,4.8737,177.4703,-0.1593,178.3458,0.1042,0.9193,1.9146,TLF,Forward Lean,1
177.8104,4.8405,177.4223,-0.0709,177.8104,0.1047,0.9198,1.9378,TLF,Forward Lean,1
177.4338,4.9736,177.4453,0.0021,177.4338,0.1053,0.9169,1.9172,TLF,Forward Lean,1
178.4803,4.6709,177.6728,-0.1387,178.4803,0.0984,0.922,1.7809,TLF,Forward Lean,1
177.784,4.9343,177.5798,-0.0361,177.784,0.1012,0.9169,1.8405,TLF,Forward Lean,1
174.9004,5.2665,177.5825,0.4833,174.9004,0.1033,0.91,1.8298,TLF,Forward Lean,1
174.1523,5.5219,177.5236,0.6204,174.1523,0.1055,0.9049,1.8681,TLF,Forward Lean,1
125.1871,1.9585,173.6962,3.4452,125.1871,0.046,0.9796,1.8075,TLF,Forward Lean,1
117.7227,1.9807,174.2601,3.2031,117.7227,0.0384,0.9934,1.5083,TLF,Forward Lean,1
117.3064,4.0356,173.2616,2.8887,117.3064,0.0349,0.8862,1.474,TLF,Forward Lean,1
